"row_type","legacy_name","legacy_purpose","product_call_sites","observed_behavior","reliability_status","evidence","intended_behavior","decision","new_tool_equivalent","replacement_status","notes"
"tool","superset_database_list","List databases","frontend/app.py scope and US13 source pickers currently use direct REST analogue; legacy tool exposed to ai_agent","Raw GET /api/v1/database response","known_good","Direct REST analogue exists in backend/us13_15_viz_service.py","List accessible databases for product pickers and SQL execution context","fix","mcp_ext.list_databases","custom_extension","Built-in MCP currently lacks a dedicated list_databases tool"
"tool","superset_database_get_by_id","Get database by ID","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/database/<id> response","unknown","Source code only; no confirmed product call site","Only keep if a concrete product use case needs database detail","drop","","drop","Could be reintroduced later as extension if needed"
"tool","superset_database_create","Create database connection","backend/ai_agent.py full tool exposure only","POST /api/v1/database with admin-oriented payload","unknown","Source code only; not a product-facing migration requirement","Do not preserve admin database creation in the product runtime","drop","","drop","Explicitly out of scope unless parity requires it"
"tool","superset_database_get_tables","List tables for a database","backend/ai_agent.py scope resolution workaround mentions this tool and endpoint failure","GET /api/v1/database/<id>/tables can fail with 400 and must not be treated as reliable for scope flows","known_bad","Guardrails in backend/ai_agent.py and test_ai_agent_clarifications.py","Dataset-scoped flows should resolve through datasets, not fail on this endpoint","drop","","drop","Add regression tests for successful scope resolution without this tool"
"tool","superset_database_schemas","List schemas for a database","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/database/<id>/schemas response","unknown","Source code only; no confirmed MCP product use","Only keep if needed for a product picker or SQL helper","drop","","drop","Current product can work from datasets and chosen database IDs"
"tool","superset_database_test_connection","Test database connection","backend/ai_agent.py full tool exposure only","POST /api/v1/database/test_connection with raw object","unknown","Source code only; admin helper","Do not preserve admin connection testing in product runtime by default","drop","","drop","Out of current use-case scope"
"tool","superset_database_update","Update database connection","backend/ai_agent.py full tool exposure only","PUT /api/v1/database/<id> with raw data","unknown","Source code only; admin helper","Do not preserve generic admin update tool unless explicitly required","drop","","drop","Out of current use-case scope"
"tool","superset_database_delete","Delete database connection","backend/ai_agent.py full tool exposure only","DELETE wrapper returning a simple message","unknown","Source code only; admin helper","Do not preserve generic admin delete tool unless explicitly required","drop","","drop","Out of current use-case scope"
"tool","superset_database_get_catalogs","List database catalogs","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/database/<id>/catalogs response","unknown","Source code only; no confirmed product use","Drop unless a real multi-catalog product flow needs it","drop","","drop","No current evidence of use"
"tool","superset_database_get_connection","Get database connection info","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/database/<id>/connection response","unknown","Source code only; admin helper","Do not preserve by default","drop","","drop","No confirmed product need"
"tool","superset_database_get_function_names","List database function names","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/database/<id>/function_names response","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","No current migration requirement"
"tool","superset_database_get_related_objects","Get related database objects","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/database/<id>/related_objects response","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","No current migration requirement"
"tool","superset_database_validate_sql","Validate SQL against database","backend/ai_agent.py full tool exposure only","POST /api/v1/database/<id>/validate_sql with raw SQL","unknown","Source code only; product currently executes preview SQL directly","Use execute_sql plus validation and guardrails from built-in service instead of preserving a separate raw validation tool","drop","","drop","Could become extension later if a real use case appears"
"tool","superset_database_validate_parameters","Validate database parameters","backend/ai_agent.py full tool exposure only","POST /api/v1/database/validate_parameters with raw object","unknown","Source code only; admin helper","Do not preserve by default","drop","","drop","No current migration requirement"
"tool","superset_dataset_list","List datasets","backend/ai_agent.py scope and browse flows; frontend/app.py direct REST analogue in US13/US15 service","Raw GET /api/v1/dataset response","known_good","Widely used discovery concept across chat and UI flows","List accessible datasets with columns and metrics where needed","preserve","list_datasets","adapter","Critical parity candidate"
"tool","superset_dataset_get_by_id","Get dataset by numeric ID","backend/ai_agent.py scope resolution; frontend/app.py direct REST analogue for metadata","Raw GET /api/v1/dataset/<id> response","known_good","Used for dataset metadata and scope resolution","Return stable dataset metadata including columns and metrics","preserve","get_dataset_info","adapter","Built-in tool also supports UUID"
"tool","superset_dataset_create","Create dataset","backend/ai_agent.py full tool exposure only","POST /api/v1/dataset with raw payload","unknown","Source code only; no confirmed product use","Do not preserve generic dataset creation unless a product use case needs it","drop","","drop","Out of current migration use-case scope"
"tool","superset_sqllab_execute_query","Execute SQL synchronously","backend/ai_agent.py SQL flows; frontend/app.py uses direct REST analogue preview_sql","POST /api/v1/sqllab/execute with database_id and SQL; returns raw execute payload","known_good","Current product preview and analysis flows depend on this capability","Execute SQL with RBAC, validation, and normalized errors","preserve","execute_sql","adapter","Negative cases should be fixed and normalized"
"tool","superset_sqllab_get_saved_queries","List saved queries","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/saved_query response","unknown","Source code only; no confirmed product use","Do not preserve unless a saved-query product feature is confirmed","drop","","drop","Out of current migration use-case scope"
"tool","superset_sqllab_format_sql","Format SQL text","backend/ai_agent.py full tool exposure only","POST /api/v1/sqllab/format_sql with SQL text","unknown","Source code only; no confirmed product use","Do not preserve unless formatting becomes product-facing","drop","","drop","Could be extension later if needed"
"tool","superset_sqllab_get_results","Fetch SQL results by key","backend/ai_agent.py full tool exposure only","GET /api/v1/sqllab/results?key=<key>","unknown","Source code only; no confirmed product use","Do not preserve unless async result fetching becomes a real requirement","drop","","drop","Current product uses synchronous preview SQL"
"tool","superset_sqllab_estimate_query_cost","Estimate query cost","backend/ai_agent.py full tool exposure only","POST /api/v1/sqllab/estimate with database_id and SQL","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","No current migration requirement"
"tool","superset_sqllab_export_query_results","Export SQL query results","backend/ai_agent.py full tool exposure only","GET /api/v1/sqllab/export/<client_id> and returns text payload","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","No current migration requirement"
"tool","superset_sqllab_get_bootstrap_data","Get SQL Lab bootstrap payload","backend/ai_agent.py full tool exposure only","GET /api/v1/sqllab and returns raw bootstrap payload","unknown","Source code only; no confirmed product use","For product navigation use open_sql_lab_with_context instead of raw bootstrap payload","drop","","drop","Open-SQL-Lab use case should target built-in URL helper"
"tool","superset_saved_query_get_by_id","Get saved query by ID","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/saved_query/<id> response","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_saved_query_create","Create saved query","backend/ai_agent.py full tool exposure only","POST /api/v1/saved_query with raw object","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_query_stop","Stop a running query","backend/ai_agent.py full tool exposure only","POST /api/v1/query/stop with client_id","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Current product runs preview SQL synchronously"
"tool","superset_query_list","List queries","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/query response","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_query_get_by_id","Get query by ID","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/query/<id> response","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_activity_get_recent","Get recent activity","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/log/recent_activity response","unknown","Source code only; no confirmed product use","Do not preserve raw activity helper unless product needs it","drop","","drop","Instance summary can be handled separately if needed"
"tool","superset_user_get_current","Get current user info","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/me response","unknown","Source code only; target built-in service already has Superset user context","Do not preserve a standalone current-user tool in product runtime by default","drop","","drop","Auth and RBAC should come from built-in service context"
"tool","superset_user_get_roles","Get current user roles","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/me/roles response","unknown","Source code only; target built-in service already enforces RBAC","Do not preserve a standalone roles tool in product runtime by default","drop","","drop","Could be reintroduced only with a proven product need"
"tool","superset_tag_list","List tags","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/tag response","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_tag_create","Create tag","backend/ai_agent.py full tool exposure only","POST /api/v1/tag with simple name payload","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_tag_get_by_id","Get tag by ID","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/tag/<id> response","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_tag_objects","Get tagged objects","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/tag/get_objects response","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_tag_delete","Delete tag","backend/ai_agent.py full tool exposure only","DELETE wrapper returning a simple message","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_tag_object_add","Attach tag to object","backend/ai_agent.py full tool exposure only","POST /api/v1/tag/tagged_objects with object_type, object_id, tag_name","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_tag_object_remove","Remove tag from object","backend/ai_agent.py full tool exposure only","DELETE /api/v1/tag/<object_type>/<object_id>?tag_name=...","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_explore_form_data_create","Create Explore form-data cache entry","backend/ai_agent.py full tool exposure only","POST /api/v1/explore/form_data with raw form_data","unknown","Source code only; no confirmed prompt or UI dependency","User-facing need is an explore link, not raw form-data cache keys","drop","","drop","Prefer built-in generate_explore_link for the product flow"
"tool","superset_explore_form_data_get","Get Explore form-data cache entry","backend/ai_agent.py full tool exposure only","GET /api/v1/explore/form_data/<key>","unknown","Source code only; no confirmed product use","Do not preserve raw cache-key retrieval by default","drop","","drop","Out of current migration scope"
"tool","superset_explore_permalink_create","Create Explore permalink state","backend/ai_agent.py full tool exposure only","POST /api/v1/explore/permalink with raw state","unknown","Source code only; no confirmed product use","Product should expose explore links, not raw permalink state APIs","drop","","drop","Prefer built-in generate_explore_link"
"tool","superset_explore_permalink_get","Get Explore permalink state","backend/ai_agent.py full tool exposure only","GET /api/v1/explore/permalink/<key>","unknown","Source code only; no confirmed product use","Do not preserve raw permalink retrieval by default","drop","","drop","Out of current migration scope"
"tool","superset_menu_get","Get Superset menu payload","backend/ai_agent.py full tool exposure only","Raw GET /api/v1/menu response","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_config_get_base_url","Return configured base URL","backend/ai_agent.py full tool exposure only","Returns local process env-derived base_url, not a server-discovered value","known_bad","Code returns _global_base_url directly","Base URL handling should live in client configuration, not as a legacy tool","drop","","drop","Do not preserve env-echo semantics as parity"
"tool","superset_advanced_data_type_convert","Convert advanced data types","backend/ai_agent.py full tool exposure only","GET /api/v1/advanced_data_type/convert with type_name and value","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"tool","superset_advanced_data_type_list","List advanced data types","backend/ai_agent.py full tool exposure only","GET /api/v1/advanced_data_type/types","unknown","Source code only; no confirmed product use","Do not preserve by default","drop","","drop","Out of current migration scope"
"use_case","browse_databases_for_scope","Browse databases for scope selection and source pickers","frontend/app.py via backend/us13_15_viz_service.py and backend/us1_schema_profiler.py","Current product relies on direct REST database listing, not legacy MCP, and legacy database table discovery is unreliable","known_good","frontend/app.py uses list_databases direct REST analogue; ai_agent guards against tables endpoint failure","Allow users to pick accessible databases without depending on broken legacy database tables flow","fix","mcp_ext.list_databases","custom_extension","Phase 4 routes picker flows through the unified MCP client layer and phase 6 uses the same extension for US1"
"use_case","us1_schema_profile_scan","Scan PostgreSQL schemas, tables, columns, row counts, and relations","frontend/app.py US1 via backend/us1_schema_profiler.py","Legacy path used direct REST login, CSRF, raw sqllab execute, and database/<id>/tables","known_bad","backend/us1_schema_profiler.py before phase 6","Run the US1 scan through built-in MCP with accessible database discovery and execute_sql only","fix","mcp_ext.list_databases;execute_sql","custom_extension;direct","Phase 6 migrates US1 to built-in MCP and removes the normal-path REST dependency"
"use_case","browse_datasets_charts_dashboards","Browse datasets, charts, and dashboards","backend/ai_agent.py; frontend/app.py dataset pickers","Current browse capability works through legacy MCP for chat and direct REST analogues for UI pickers","known_good","Product code and built-in tool coverage already align well for list/get asset flows","Expose stable discovery tools for datasets, charts, and dashboards","preserve","list_datasets;list_charts;list_dashboards","direct","High-confidence parity target"
"use_case","fetch_detailed_asset_info","Fetch detailed dataset, chart, and dashboard metadata","backend/ai_agent.py scope resolution; frontend/app.py dataset metadata views","Current product relies on dataset metadata heavily and may ask the model for chart/dashboard detail","known_good","backend/ai_agent.py and frontend/app.py both rely on dataset detail analogues","Return stable detail payloads with identifiers, URLs, columns, metrics, and chart/dashboard metadata","preserve","get_dataset_info;get_chart_info;get_dashboard_info","direct","High-confidence parity target"
"use_case","execute_sql","Run SQL against an allowed database","backend/ai_agent.py SQL flows; frontend/app.py preview_sql","Current product executes SQL successfully for analysis and preview but error signaling varies","known_good","preview_sql direct REST analogue and legacy sqllab execute wrapper both exist","Execute SQL with RBAC, validation, timeout handling, and normalized errors","preserve","execute_sql","direct","Negative cases still need regression coverage"
"use_case","open_sql_lab_with_context","Open SQL Lab with prepared database and SQL context","Required by AGENTS.md; no dedicated frontend call site yet","Legacy surface has bootstrap and execute helpers but no dedicated open-SQL-Lab URL tool","unknown","No current frontend implementation; built-in tool exists and now has live integration coverage","Give users a direct SQL Lab URL with database, schema, and optional SQL prefilled","fix","open_sql_lab_with_context","direct","Covered as a validated migration capability even though the current Streamlit UI does not call it directly"
"use_case","generate_or_update_chart_flow","Generate a new chart or update an existing chart","backend/ai_agent.py prompt-driven create/update; frontend/app.py US15 direct chart creation","Legacy path uses raw viz_type plus params and brittle CSRF code; UI path bypasses MCP and talks REST directly","flaky","superset_chart_create/update plus backend/us13_15_viz_service.py","Create and update charts through validated built-in schemas with reliable URLs and errors","fix","generate_chart;update_chart;mcp_ext.legacy_chart_create","direct;custom_extension","Phase 4 uses built-in chart tools as the main path and keeps a narrow extension only for unsupported pie creation"
"use_case","generate_or_update_dashboard_flow","Generate a dashboard or add/update charts in a dashboard","backend/ai_agent.py prompt-driven dashboard create/update; frontend/app.py US15 create_dashboard_widget_with_share","Legacy path supports empty dashboard creation and raw update; UI currently creates dashboard and chart through direct REST wrappers","flaky","superset_dashboard_create/update plus backend/us13_15_viz_service.py","Support dashboard generation and chart attachment through built-in tools and minimal extensions","fix","generate_dashboard;add_chart_to_existing_dashboard;mcp_ext.create_empty_dashboard","custom_extension","Phase 4 migrates the frontend-backed empty-dashboard-first flow onto the unified MCP client layer"
"use_case","explore_link_flow","Generate an explore link for interactive visualization","Potentially through raw explore form-data/permalink tools today; not a clearly validated product path","Legacy raw explore helpers are low-level and not confirmed as a stable user-facing contract","unknown","Source code only; built-in tool exists and has tests","Return a user-ready explore URL from dataset plus chart config","fix","generate_explore_link","direct","Phase 4 adds product-facing built-in explore-link routing instead of raw form-data cache APIs"
"use_case","permission_denied_invalid_payload_not_found","Surface permission denied, invalid payload, and not found errors clearly","backend/ai_agent.py and frontend/app.py both need this behavior","Legacy tools mix JSON-RPC failures with in-band error payloads and verbose legacy-specific suggestions","known_bad","Error handling in superset-mcp/main.py is inconsistent by design","Return consistent typed errors across adapter and direct built-in calls","fix","adapter_error_normalization","adapter","Must be covered by adapter unit tests and integration tests"
"use_case","dml_denied","Reject DML or other disallowed SQL safely","backend/ai_agent.py guardrails; frontend/app.py preview SQL","Current product has guardrails, but legacy and REST error surfaces still vary by path and database settings","known_bad","Guardrails in backend/us10_12_guardrails.py plus raw execute wrappers","Block disallowed SQL with explicit, consistent errors and regression coverage","fix","execute_sql","adapter","Regression tests should assert corrected denial behavior, not legacy text"
